,index,0
698,I350,ISU
699,I370,ISU
700,ISUMARK,ISU
701,ISUIMP,ISU
702,OASIS,ISU
703,ISUOTH,ISU
704,ISUPU,ISU
705,RODEO,ISU
706,STYLUS,ISU
707,TROOP,ISU
708,TRP2,ISU
709,VEHICROSS,ISU
710,JAGEPACE,JAG
711,JAGFPACE,JAG
712,JAGFTYPE,JAG
713,JAGIPACE,JAG
714,JAGOTH,JAG
715,STYPE,JAG
716,XTYPE,JAG
717,JAGXE,JAG
718,XF,JAG
719,XJ,JAG
720,XJSPORT,JAG
721,VANDEN,JAG
722,JAGXJ12,JAG
723,JAGXJ6,JAG
724,XJ8,JAG
725,XJ8L,JAG
726,JAGXJR,JAG
727,JAGXJRS,JAG
728,JAGXJS,JAG
729,XK,JAG
730,JAGXK8,JAG
731,XKR,JAG
732,CHER,JEEP
733,JEEPCJ,JEEP
734,COMANC,JEEP
735,COMMANDER,JEEP
736,COMPASS,JEEP
737,JEEPGLAD,JEEP
738,JEEPGRAND,JEEP
739,GRWAG,JEEP
740,LIBERTY,JEEP
741,JEOTH,JEEP
742,PATRIOT,JEEP
743,JEEPPU,JEEP
744,JEEPRENEG,JEEP
745,SCRAMBLE,JEEP
746,WAGONE,JEEP
747,WRANGLER,JEEP
748,AMANTI,KIA
749,BORREGO,KIA
750,KIACADENZA,KIA
751,FORTE,KIA
752,FORTEKOUP,KIA
753,KIAK5,KIA
754,KIAK900,KIA
755,KIANIRO,KIA
756,OPTIMA,KIA
757,KIAOTH,KIA
758,RIO,KIA
759,RIO5,KIA
760,RONDO,KIA
761,SEDONA,KIA
762,KIASELTOS,KIA
763,SEPHIA,KIA
764,SORENTO,KIA
765,SOUL,KIA
766,SPECTRA,KIA
767,SPECTRA5,KIA
768,SPORTA,KIA
769,KIASTING,KIA
770,KIATELLURD,KIA
771,AVENT,LAM
772,LAMCENTEN,LAM
773,COUNT,LAM
774,DIABLO,LAM
775,GALLARDO,LAM
776,LAMHURACAN,LAM
777,JALPA,LAM
778,LM002,LAM
779,MURCIELAGO,LAM
780,LAMOTH,LAM
781,LAMURUS,LAM
782,DEFEND,ROV
783,DISCOV,ROV
784,ROVDISCSPT,ROV
785,FRELNDR,ROV
786,LR2,ROV
787,LR3,ROV
788,LR4,ROV
789,ROVOTH,ROV
790,RANGE,ROV
791,EVOQUE,ROV
792,RANGESPORT,ROV
793,ROVVELAR,ROV
794,CT200H,LEXUS
795,ES250,LEXUS
796,ES300,LEXUS
797,ES300H,LEXUS
798,ES330,LEXUS
799,ES350,LEXUS
800,LEXGS200T,LEXUS
801,GS300,LEXUS
802,GS350,LEXUS
803,GS400,LEXUS
804,GS430,LEXUS
805,GS450H,LEXUS
806,GS460,LEXUS
807,LEXGSF,LEXUS
808,GX460,LEXUS
809,GX470,LEXUS
810,HS250H,LEXUS
